party_id,country_name_short_from_elections,country_name_from_elections,election_type,election_date,vote_share,seats,seats_total,party_name_short_from_elections,party_name_from_elections,party_name_english_from_elections,left_right_from_elections,country_id_from_elections,election_id,previous_parliament_election_id,previous_cabinet_id,vote_share_max,vote_share_median,vote_share_mean,country_name_short_from_parties,country_name_from_parties,party_name_short_from_parties,party_name_english_from_parties,party_name_from_parties,party_name_ascii,family_name_short,family_name,left_right_from_parties,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id_from_parties,family_id,election_year,election_decade,election_half_decade
1898,AUS,Australia,parliament,1901-03-30,44.4,32.0,75,PP,Protectionist Party,Protectionist Party,7.4,33,731,,,44.4,29.7,30.166666666666668,AUS,Australia,PP,Protectionist Party,Protectionist Party,Protectionist Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1901,1900,1900
1938,AUS,Australia,parliament,1901-03-30,34.2,26.0,75,FTP,Free Trade Party,Free Trade Party,6.0,33,731,,,38.2,34.4,35.6,AUS,Australia,FTP,Free Trade Party,Free Trade Party,Free Trade Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33.0,6.0,1901,1900,1900
1253,AUS,Australia,parliament,1901-03-30,19.4,15.0,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,731,,,50.9,43.9,42.43333333333334,AUS,Australia,ALP,Australian Labor Party,Australian Labor Party,Australian Labor Party,soc,Social democracy,3.8833,4.0351,3.2632,,63320.0,,,101.0,,,4721.0,,33.0,11.0,1901,1900,1900
1917,AUS,Australia,parliament,1906-12-02,4.8,4.0,75,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),7.4,33,725,730.0,1000.0,4.8,4.8,4.8,AUS,Australia,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1906,1900,1905
1906,AUS,Australia,parliament,1906-12-02,2.3,2.0,75,WAP,Western Australian Party,Western Australian Party,6.0,33,725,730.0,1000.0,2.3,2.3,2.3,AUS,Australia,WAP,Western Australian Party,Western Australian Party,Western Australian Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33.0,6.0,1906,1900,1905
2285,AUS,Australia,parliament,1910-04-13,45.1,31.0,75,CLP,Commonwealth Liberal Party,Commonwealth Liberal Party,7.4,33,747,725.0,1002.0,48.9,47.2,47.06666666666666,AUS,Australia,CLP,Commonwealth Liberal Party,Commonwealth Liberal Party,Commonwealth Liberal Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1910,1910,1910
1905,AUS,Australia,parliament,1917-05-05,54.2,53.0,75,NAT,Nationalist Party of Australia,Nationalist Party of Australia,8.7,33,750,724.0,1008.0,54.2,40.8,41.666666666666664,AUS,Australia,NAT,Nationalist Party of Australia,Nationalist Party of Australia,Nationalist Party of Australia,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,33.0,40.0,1917,1910,1915
1929,AUS,Australia,parliament,1919-12-13,4.2,5.0,75,VFU-V,Victorian Farmers' Union,Victorian Farmers' Union,5.3,33,723,750.0,1010.0,4.2,4.2,4.2,AUS,Australia,VFU-V,Victorian Farmers' Union,Victorian Farmers' Union,Victorian Farmers' Union,agr,Agrarian,5.3,4.9,6.5,,,,,,,,,,33.0,2.0,1919,1910,1915
184,AUS,Australia,parliament,1919-12-13,0.9,2.0,75,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,723,750.0,1010.0,12.6,9.15,8.656052631578948,AUS,Australia,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,con,Conservative,7.8222,6.2456,8.4561,,63810.0,,,104.0,206.0,,4775.0,,33.0,26.0,1919,1910,1915
1913,AUS,Australia,parliament,1919-12-13,1.0,1.0,75,FS-NSW,Farmers and Settlers (NSW),Farmers and Settlers (NSW),5.3,33,723,750.0,1010.0,1.0,1.0,1.0,AUS,Australia,FS-NSW,Farmers and Settlers (NSW),Farmers and Settlers (NSW),Farmers and Settlers (NSW),agr,Agrarian,5.3,4.9,6.5,,,,,,,,,,33.0,2.0,1919,1910,1915
