party_id,country_name_short,country_name,election_date,vote_share,seats,party_name_short,party_name,party_name_english,country_id,election_id,party_name_ascii,family_name_short,family_name,family_id,most_recent_election_id,most_recent_election_date,most_recent_vote_share,most_recent_seats
215,AUS,Australia,1975-12-13,0.2,1.0,CouLP,Country Liberal Party,Country Liberal Party,33,757,Country Liberal Party,lib,Liberal,6.0,,,,
154,AUS,Australia,2010-08-21,9.12,21.0,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,33,246,Liberal National Party of Queensland,lib,Liberal,6.0,1006.0,2016-07-02 00:00:00,8.52,21.0
751,AUS,Australia,2010-08-21,11.76,1.0,AG,Australian Greens,Australian Greens,33,246,Australian Greens,eco,Green/Ecologist,19.0,1006.0,2016-07-02 00:00:00,10.23,1.0
2258,AUS,Australia,2013-09-07,1.04,1.0,Katter,Katter's Australian Party,Katter's Australian Party,33,804,Katter's Australian Party,soc,Social democracy,11.0,1006.0,2016-07-02 00:00:00,0.54,1.0
2259,AUS,Australia,2013-09-07,5.49,1.0,PUP,Palmer United Party,Palmer United Party,33,804,Palmer United Party,lib,Liberal,6.0,,,,
2630,AUS,Australia,2016-07-02,1.85,1.0,NXT,Nick Xenophon Team,Nick Xenophon Team,33,1006,Nick Xenophon Team,lib,Liberal,6.0,1006.0,2016-07-02 00:00:00,1.85,1.0
50,AUT,Austria,1949-10-09,11.7,16.0,FPO,Freiheitliche Partei Ã–sterreichs,Freedom Party of Austria,59,67,Freiheitliche Partei Oesterreichs,right,Right-wing,40.0,1019.0,2017-10-15 00:00:00,26.0,51.0
1429,AUT,Austria,1986-11-23,4.8,8.0,Gruene,Die GrÃ¼nen â€“ Die GrÃ¼ne Alternative,The Greens -- The Green Alternative,59,235,Die Gruenen -- Die Gruene Alternative,eco,Green/Ecologist,19.0,,,,
955,AUT,Austria,1994-10-09,6.0,11.0,LIF,Liberales Forum,Liberal Forum,59,66,Liberales Forum,lib,Liberal,6.0,,,,
1536,AUT,Austria,2006-10-01,4.1,7.0,BZO,BÃ¼ndnis Zukunft Ã–sterreich,Alliance for the Future of Austria,59,197,Buendnis Zukunft Oesterreich,right,Right-wing,40.0,,,,
2150,AUT,Austria,2013-09-29,5.7,11.0,TS,Team Stronach,Team Stronach,59,802,Team Stronach,lib,Liberal,6.0,,,,
2255,AUT,Austria,2013-09-29,5.0,9.0,NEOS,NEOS â€“ Das Neue Ã–sterreich,NEOS -- The New Austria,59,802,NEOS -- Das Neue Oesterreich,lib,Liberal,6.0,1019.0,2017-10-15 00:00:00,5.3,10.0
2651,AUT,Austria,2017-10-15,4.4,8.0,PILZ,Liste Peter Pilz,Peter Pilz List,59,1019,JETZT -- Liste Pilz,eco,Green/Ecologist,19.0,1019.0,2017-10-15 00:00:00,4.4,8.0
1268,BEL,Belgium,1954-04-11,0.8,1.0,LC,Listes catholiques,Catholics Lists,64,545,Listes catholiques,chr,Christian democracy,3.0,,,,
290,BEL,Belgium,1954-04-11,2.2,1.0,VU,Volksunie,People's Union,64,545,Volksunie,right,Right-wing,40.0,,,,
969,BEL,Belgium,1965-05-23,1.3,3.0,FDF,Front DÃ©mocratique des Francophones,Francophone Democratic Front,64,150,Front Democratique des Francophones,lib,Liberal,6.0,816.0,2014-05-25 00:00:00,1.8,2.0
723,BEL,Belgium,1968-03-31,20.0,50.0,CVP,Christelijke Volkspartij,Flemish Christian Peoples Party,64,184,Christelijke Volkspartij | Christen-Democratisch en Vlaams,chr,Christian democracy,3.0,816.0,2014-05-25 00:00:00,11.61,18.0
1192,BEL,Belgium,1968-03-31,11.7,19.0,PSC-CDH,Parti Social ChrÃ©tien â€“ Centre Democrate Humaniste,Francophone Christian Social Party -- Humanist Democratic Centre,64,184,Parti Social Chretien -- Centre Democrate Humaniste,chr,Christian democracy,3.0,816.0,2014-05-25 00:00:00,4.98,9.0
460,BEL,Belgium,1968-03-31,3.4,5.0,RW,Rassemblement Wallon,Walloon Rally,64,184,Rassemblement Wallon,soc,Social democracy,11.0,,,,
1110,BEL,Belgium,1971-11-07,9.48,20.0,PVV|VLD,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,Party of Liberty and Progress | Flemish Liberals and Democrats,64,591,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,lib,Liberal,6.0,816.0,2014-05-25 00:00:00,9.78,14.0
454,BEL,Belgium,1971-11-07,5.66,11.0,PRL,Parti RÃ©formateur LibÃ©ral,Liberal Reformist Party,64,591,Parti Reformateur Liberal,lib,Liberal,6.0,,,,
640,BEL,Belgium,1971-11-07,1.3,3.0,PL(B),Parti LibÃ©ral [RÃ©gion bruxelloise],Liberal Party [Brussels Region],64,591,Parti Liberal [Region bruxelloise],lib,Liberal,6.0,,,,
1378,BEL,Belgium,1978-12-17,13.0,32.0,PS,Parti Socialiste,Socialist Party [Francophone],64,663,Parti Socialiste,soc,Social democracy,11.0,816.0,2014-05-25 00:00:00,11.67,23.0
1029,BEL,Belgium,1978-12-17,12.4,26.0,SP,Socialistische Partij,Socialist Party,64,663,Socialistische Partij,soc,Social democracy,11.0,816.0,2014-05-25 00:00:00,8.83,13.0
1440,BEL,Belgium,1978-12-17,0.9,1.0,RvA-UpD,Respect voor Arbeid en Democratie â€“ Union pour la Democratie et le Respect du Travail,Respect for Labour,64,663,Respect voor Arbeid en Democratie -- Union pour la Democratie et le Respect du Travail,right,Right-wing,40.0,,,,
